Song Name,Artist,Length,BPM,Level To Unlock,Easy,Hard,Master,Hidden,Pack,Song Cover
Star Driver,iKz feat.Qiyou,2:05,160,34,5,7,9,,Default,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/8/8d/%E6%B5%81%E6%98%9F%E8%BD%A6%E6%89%8B.png/80px-%E6%B5%81%E6%98%9F%E8%BD%A6%E6%89%8B.png?version=acac0f756470e21cdf186e1a0fbe8c92
Formation,SLT,2:08,180,36,4,6,9,,Default,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/6/66/Formation.png/80px-Formation.png?version=df0a0394150a06856bef6ec220ce491f
Shinsou Masui,iKz,2:17,168,38,4,6,10,,Default,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/5/55/%E5%BF%83%E5%B1%A4%E9%BA%BB%E9%85%94.png/80px-%E5%BF%83%E5%B1%A4%E9%BA%BB%E9%85%94.png?version=db00d490b966f809fa19a69c45845698
Latitude,SLT,1:58,180,40,3,6,8,,Default,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/f/f1/Latitude.png/80px-Latitude.png?version=21a6ee5e13041029d9d6a0e28f66b303
Aqua Stars,Sound Souler,1:50,192,42,5,7,9,,Default,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/6/6d/Aqua_Stars.png/80px-Aqua_Stars.png?version=dae3f897d7a2f8161fea3bbb4fd88a64
Funkotsu Saishin Casino,Morimori Atsushi,1:55,132~198,44,5,7,10,,Default,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/a/ab/%E7%B2%89%E9%AA%A8%E7%A0%95%E8%BA%AB%E3%82%AB%E3%82%B8%E3%83%8E%E3%82%A5.png/80px-%E7%B2%89%E9%AA%A8%E7%A0%95%E8%BA%AB%E3%82%AB%E3%82%B8%E3%83%8E%E3%82%A5.png?version=bdb5a87cdde0480dd43048b58143a346
Tokei no Heya to Seishin Sekai,a_hisa,2:19,180,46,4,6,9,,Default,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/e/ea/%E6%99%82%E8%A8%88%E3%81%AE%E9%83%A8%E5%B1%8B%E3%81%A8%E7%B2%BE%E7%A5%9E%E4%B8%96%E7%95%8C.png/80px-%E6%99%82%E8%A8%88%E3%81%AE%E9%83%A8%E5%B1%8B%E3%81%A8%E7%B2%BE%E7%A5%9E%E4%B8%96%E7%95%8C.png?version=f6eeed2e17467a12ff3c7a4126c2b5bf
徒 花 Tu Hua,Aya.Tsumi,1:45,125,48,4,7,9,,Default,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/a/ac/%E5%BE%92%E8%8A%B1.png/80px-%E5%BE%92%E8%8A%B1.png?version=2c1f21d3b63b9f9f31a4e96630708e16
Mujinku-Vacuum Track#ADD8E6-,NoKANY,2:17,203,50,5,7,11,,Default,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/c/c2/%E7%84%A1%E4%BA%BA%E5%8C%BA_-Vacuum_Track.ADD8E6-.png/80px-%E7%84%A1%E4%BA%BA%E5%8C%BA_-Vacuum_Track.ADD8E6-.png?version=bee9423264f2f31c634701c2e911f35b
MilK,Morimori Atsushi,1:55,150,55,5,7,9,,Default,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/9/92/Milk.png/80px-Milk.png?version=095fc7ceeeaa50687677802fdecc937b
umpopoff,Mameko,2:07,123~177,60,,?,,,Default,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/f/fd/Umpopoff.jpg/80px-Umpopoff.jpg?version=0320369257586523504536b65c20aa4a
Mopemope,LeaF,1:48,100,65,4,7,9,11,Default,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/1/11/Mopemope_jacket.png/80px-Mopemope_jacket.png?version=19364b38de67d1747d5b34070909d320
